EmployeeID,Age,Gender,Education,Department,City,Experience_Years,Salary,Performance_Score,Job_Satisfaction
EMP0060,44,Female,Master,Engineering,Hyderabad,25,93361.0,4,4.0
EMP0061,30,Female,PhD,HR,Mumbai,12,76328.0,3,3.0
EMP0062,33,Male,Bachelor,Marketing,Mumbai,19,62169.0,5,5.0
EMP0063,23,Male,Bachelor,HR,Bangalore,6,49847.0,2,1.0
EMP0064,23,Female,Bachelor,HR,Delhi,4,44135.0,3,4.0
EMP0065,43,Female,PhD,HR,Bangalore,27,89268.0,4,3.0
EMP0066,48,Female,Bachelor,Sales,Mumbai,29,90376.0,5,5.0
EMP0067,34,Male,Bachelor,Engineering,Mumbai,11,63531.0,2,2.0
EMP0068,45,Male,Bachelor,Sales,Mumbai,24,78595.0,4,4.0
EMP0069,38,Male,Master,Finance,Mumbai,16,83002.0,4,4.0
EMP0070,28,Female,High School,Finance,Delhi,9,48146.0,3,4.0
EMP0071,38,Male,Master,Engineering,Chennai,20,97962.0,2,1.0
EMP0072,50,Male,PhD,Engineering,Hyderabad,35,120249.0,5,4.0
EMP0073,34,Female,High School,Engineering,Chennai,16,70443.0,2,2.0
EMP0074,50,Female,Bachelor,HR,Mumbai,31,83801.0,3,3.0
EMP0075,18,Male,PhD,HR,Delhi,1,52828.0,3,3.0
EMP0076,43,Male,High School,Engineering,Mumbai,20,79054.0,5,5.0
EMP0077,35,Female,Master,Sales,Delhi,17,75467.0,4,3.0
EMP0078,32,Female,Bachelor,HR,Bangalore,15,49757.0,4,5.0
EMP0079,35,Male,Bachelor,HR,Mumbai,14,63521.0,3,4.0
EMP0080,18,Female,Master,Sales,Mumbai,2,40687.0,4,5.0
EMP0081,32,Female,Bachelor,Sales,Hyderabad,14,64162.0,4,5.0
EMP0082,38,Male,Bachelor,Sales,Delhi,19,72133.0,4,4.0
EMP0083,49,Male,Bachelor,Engineering,Delhi,32,95545.0,5,5.0
EMP0084,29,Male,Bachelor,Sales,Mumbai,15,58445.0,1,1.0
EMP0085,26,Female,High School,Sales,Mumbai,8,36471.0,4,5.0
EMP0086,29,Male,Bachelor,Finance,Hyderabad,11,61425.0,2,2.0
EMP0087,44,Female,PhD,Sales,Mumbai,25,89959.0,3,3.0
EMP0088,38,Female,Bachelor,HR,Delhi,18,66898.0,3,2.0
EMP0089,29,Male,Master,Engineering,Mumbai,12,85551.0,3,2.0
EMP0090,40,Female,Bachelor,Marketing,Delhi,20,74978.0,3,3.0
EMP0091,35,Female,Master,Engineering,Mumbai,17,83689.0,4,3.0
EMP0092,44,Male,High School,Engineering,Chennai,25,81453.0,3,2.0
EMP0093,27,Male,PhD,HR,Chennai,9,57082.0,4,4.0
EMP0094,31,Male,Bachelor,Finance,Chennai,13,61470.0,3,3.0
EMP0095,31,Female,Bachelor,Engineering,Delhi,15,,2,2.0
EMP0096,20,Female,High School,Marketing,Chennai,0,38077.0,4,4.0
EMP0097,37,Male,High School,HR,Bangalore,18,48828.0,3,4.0
EMP0098,37,Female,Bachelor,Engineering,Delhi,17,75537.0,3,4.0
EMP0099,35,Male,Bachelor,Sales,Bangalore,16,61867.0,4,4.0
EMP0100,32,Male,Master,HR,Mumbai,14,66400.0,3,2.0
EMP0101,20,Male,Bachelor,Sales,Mumbai,3,38451.0,2,2.0
EMP0102,30,Male,Bachelor,Engineering,Chennai,10,70120.0,3,3.0
EMP0103,31,Male,Bachelor,Marketing,Mumbai,14,56630.0,5,4.0
EMP0104,26,Female,Master,HR,Bangalore,10,58927.0,4,5.0
EMP0105,33,Male,High School,Sales,Delhi,15,55231.0,4,4.0
EMP0106,39,Female,High School,Engineering,Hyderabad,24,81032.0,4,4.0
EMP0107,53,Male,High School,HR,Hyderabad,33,75318.0,2,3.0
EMP0108,36,Male,Master,Engineering,Hyderabad,15,82951.0,3,4.0
EMP0109,37,Male,Master,HR,Delhi,15,66058.0,4,3.0
EMP0110,34,Female,Bachelor,Engineering,Mumbai,18,78149.0,2,3.0
EMP0111,18,Male,Master,Finance,Delhi,1,54206.0,3,4.0
EMP0112,34,Male,Master,Marketing,Mumbai,15,76493.0,3,4.0
EMP0113,35,Female,Bachelor,Marketing,Mumbai,17,,3,2.0
EMP0114,59,Male,Master,Engineering,Bangalore,38,116522.0,5,5.0
EMP0115,33,Male,Bachelor,Marketing,Bangalore,19,69984.0,2,3.0
EMP0116,38,Female,High School,Finance,Hyderabad,20,66330.0,3,2.0
EMP0117,34,Male,Bachelor,Finance,Mumbai,16,75865.0,2,3.0
EMP0118,23,Male,High School,Marketing,Delhi,6,40848.0,5,5.0
EMP0119,46,Male,Bachelor,Marketing,Mumbai,28,79463.0,2,1.0
EMP0120,42,Male,PhD,HR,Hyderabad,24,90238.0,3,3.0
EMP0121,42,Male,High School,Finance,Chennai,22,63145.0,4,3.0
EMP0122,25,Male,High School,Sales,Chennai,7,34866.0,4,5.0
EMP0123,49,Male,Bachelor,Marketing,Hyderabad,34,83030.0,3,4.0
EMP0124,20,Male,PhD,Marketing,Bangalore,4,60714.0,3,4.0
EMP0125,40,Female,Bachelor,Sales,Delhi,25,84162.0,3,2.0
EMP0126,56,Male,Bachelor,Engineering,Delhi,36,118156.0,3,4.0
EMP0127,25,Male,High School,Sales,Bangalore,5,40690.0,3,4.0
EMP0128,29,Female,High School,Marketing,Delhi,10,47504.0,3,2.0
EMP0129,35,Female,PhD,HR,Delhi,17,68494.0,3,3.0
EMP0130,29,Male,PhD,Engineering,Hyderabad,13,85786.0,3,3.0
EMP0131,19,Female,High School,Sales,Hyderabad,0,26061.0,4,5.0
EMP0132,35,Male,PhD,Marketing,Chennai,20,80895.0,5,4.0
EMP0133,24,Male,Bachelor,Sales,Chennai,5,44659.0,4,5.0
EMP0134,39,Female,Master,Engineering,Bangalore,20,88639.0,2,1.0
EMP0135,25,Male,Bachelor,Sales,Mumbai,4,34103.0,2,1.0
EMP0136,50,Male,Bachelor,Sales,Mumbai,28,83739.0,5,5.0
EMP0137,27,Male,Bachelor,Sales,Bangalore,10,47636.0,3,3.0
EMP0138,31,Male,Master,Sales,Chennai,13,66696.0,2,1.0
EMP0139,43,Male,High School,Sales,Mumbai,22,73370.0,4,5.0
EMP0140,22,Female,High School,HR,Hyderabad,1,25000.0,4,4.0
EMP0141,37,Male,Bachelor,Engineering,Mumbai,18,67348.0,4,5.0
EMP0142,48,Female,Master,HR,Delhi,33,92069.0,3,3.0
EMP0143,18,Female,Bachelor,Marketing,Bangalore,0,43504.0,1,1.0
EMP0144,36,Female,Master,Engineering,Mumbai,14,91791.0,5,5.0
EMP0145,37,Female,PhD,Engineering,Mumbai,18,89852.0,3,3.0
EMP0146,42,Female,High School,Marketing,Delhi,23,66983.0,4,4.0
EMP0147,22,Male,Master,HR,Chennai,0,41673.0,4,5.0
EMP0148,21,Male,Bachelor,HR,Delhi,2,38470.0,4,4.0
EMP0149,40,Male,Master,HR,Bangalore,21,88721.0,3,3.0
EMP0150,37,Female,High School,Sales,Bangalore,20,52485.0,3,3.0
EMP0151,37,Female,Master,Marketing,Mumbai,22,80268.0,4,5.0
EMP0152,38,Male,Master,Engineering,Hyderabad,22,96338.0,5,4.0
EMP0153,28,Male,PhD,Marketing,Mumbai,9,72928.0,5,5.0
EMP0154,37,Male,Master,Marketing,Hyderabad,16,70489.0,2,1.0
EMP0155,37,Female,Bachelor,Engineering,Bangalore,24,90540.0,2,2.0
EMP0156,27,Male,Bachelor,Engineering,Hyderabad,9,64541.0,5,4.0
EMP0157,53,Female,Master,Sales,Mumbai,35,99845.0,4,5.0
EMP0158,39,Female,Bachelor,HR,Delhi,20,64284.0,5,5.0
EMP0159,23,Male,High School,Finance,Mumbai,5,,3,3.0
EMP0160,41,Male,PhD,Finance,Mumbai,22,93151.0,4,
EMP0161,25,Male,Master,Sales,Bangalore,5,55385.0,4,4.0
EMP0162,42,Male,Master,Marketing,Mumbai,22,78853.0,4,4.0
EMP0163,46,Male,Bachelor,Sales,Bangalore,27,84130.0,3,4.0
EMP0164,26,Male,Master,HR,Mumbai,6,52743.0,1,1.0
EMP0165,44,Female,Bachelor,Engineering,Delhi,24,80134.0,4,3.0
EMP0166,39,Male,Master,Marketing,Chennai,21,83809.0,3,2.0
EMP0167,43,Male,High School,HR,Delhi,24,59471.0,3,2.0
EMP0168,53,Female,Master,Marketing,Bangalore,38,99731.0,5,5.0
EMP0169,32,Female,PhD,Sales,Bangalore,8,63021.0,3,3.0
EMP0170,27,Male,High School,Sales,Chennai,11,53372.0,4,5.0
EMP0171,26,Female,PhD,Engineering,Delhi,10,73321.0,2,2.0
EMP0172,26,Male,Bachelor,Marketing,Bangalore,3,58188.0,4,4.0
EMP0173,34,Female,Master,Marketing,Hyderabad,15,73780.0,5,5.0
EMP0174,38,Female,Master,Engineering,Chennai,19,90616.0,2,3.0
EMP0175,37,Female,Bachelor,Engineering,Delhi,16,,1,2.0
EMP0176,43,Male,Master,HR,Bangalore,23,79927.0,3,
EMP0177,35,Female,Master,Engineering,Chennai,14,84605.0,2,2.0
EMP0178,49,Male,Bachelor,Sales,Bangalore,34,92226.0,4,5.0
EMP0179,32,Male,Bachelor,Engineering,Mumbai,15,78278.0,5,5.0
EMP0180,62,Male,Master,Finance,Mumbai,40,114447.0,3,4.0
EMP0181,41,Male,Master,Engineering,Chennai,24,96013.0,3,3.0
EMP0182,26,Male,Master,Marketing,Delhi,5,52743.0,3,3.0
EMP0183,24,Female,Master,Finance,Chennai,4,59025.0,4,3.0
EMP0184,39,Female,Bachelor,HR,Delhi,21,73168.0,1,1.0
EMP0185,32,Male,Master,Engineering,Bangalore,11,80467.0,4,4.0
EMP0186,42,Male,High School,HR,Mumbai,25,50798.0,4,4.0
EMP0187,39,Male,Bachelor,Marketing,Mumbai,20,71279.0,4,5.0
EMP0188,34,Male,High School,Marketing,Hyderabad,15,53473.0,3,3.0
EMP0189,26,Male,Bachelor,Engineering,Hyderabad,9,66406.0,4,5.0
EMP0190,19,Female,Bachelor,Engineering,Bangalore,1,52557.0,2,1.0
EMP0191,30,Male,Bachelor,HR,Delhi,11,58120.0,2,1.0
EMP0192,43,Male,Master,Marketing,Bangalore,27,91237.0,5,5.0
EMP0193,37,Male,Bachelor,Marketing,Bangalore,16,58135.0,4,5.0
EMP0194,22,Female,Bachelor,HR,Bangalore,5,45535.0,1,2.0
EMP0195,36,Female,Bachelor,HR,Mumbai,19,59641.0,3,3.0
EMP0196,38,Female,Bachelor,Engineering,Bangalore,19,74601.0,3,2.0
EMP0197,26,Female,Bachelor,Sales,Chennai,8,46866.0,3,4.0
EMP0198,36,Male,High School,Engineering,Hyderabad,15,71811.0,3,3.0
EMP0199,35,Male,Bachelor,HR,Mumbai,18,67765.0,2,1.0
EMP0200,23,Female,Master,Sales,Chennai,4,54565.0,3,3.0
EMP0201,38,Male,Bachelor,Finance,Bangalore,18,76625.0,4,3.0
EMP0202,40,Female,Bachelor,Engineering,Delhi,24,91580.0,4,4.0
EMP0203,45,Male,Bachelor,Engineering,Mumbai,25,87292.0,4,3.0
EMP0204,45,Male,Master,Engineering,Delhi,24,99159.0,2,1.0
EMP0205,21,Male,Bachelor,Engineering,Delhi,0,57002.0,5,5.0
EMP0206,25,Female,Bachelor,Engineering,Delhi,8,68771.0,4,5.0
EMP0207,40,Female,High School,Finance,Chennai,19,72444.0,4,3.0
EMP0208,40,Male,Bachelor,Engineering,Chennai,25,94041.0,4,5.0
EMP0209,40,Male,Bachelor,Engineering,Bangalore,17,80257.0,5,5.0
EMP0210,65,Male,Bachelor,HR,Hyderabad,40,,3,4.0
EMP0211,40,Male,Bachelor,Marketing,Delhi,22,70867.0,3,4.0
EMP0212,46,Male,Bachelor,HR,Mumbai,27,72090.0,4,5.0
EMP0213,44,Male,Bachelor,Engineering,Bangalore,24,88184.0,4,5.0
EMP0214,41,Male,Master,Marketing,Mumbai,23,76775.0,4,5.0
EMP0215,31,Male,Master,Engineering,Delhi,12,75624.0,3,2.0
EMP0216,42,Male,Master,Engineering,Mumbai,26,99277.0,2,1.0
EMP0217,27,Male,PhD,Finance,Mumbai,9,71537.0,3,2.0
EMP0218,32,Male,High School,Engineering,Chennai,14,64460.0,5,5.0
EMP0219,30,Male,High School,Sales,Delhi,11,37031.0,4,5.0
EMP0220,35,Male,High School,Marketing,Delhi,16,55066.0,3,2.0
EMP0221,58,Female,Bachelor,Marketing,Mumbai,40,98006.0,3,3.0
EMP0222,18,Male,Master,Finance,Bangalore,0,49914.0,3,2.0
EMP0223,41,Male,Bachelor,Engineering,Delhi,20,86296.0,5,4.0
EMP0224,18,Male,PhD,Sales,Chennai,1,60187.0,4,5.0
EMP0225,30,Female,High School,Finance,Delhi,12,47962.0,4,4.0
EMP0226,45,Female,PhD,Sales,Mumbai,26,89186.0,3,4.0
EMP0227,35,Female,Bachelor,Finance,Bangalore,17,67654.0,4,5.0
EMP0228,24,Female,High School,Engineering,Mumbai,6,49300.0,3,2.0
EMP0229,27,Male,Bachelor,Marketing,Delhi,7,52647.0,4,5.0
EMP0230,41,Female,Bachelor,Engineering,Delhi,21,83530.0,3,3.0
EMP0231,27,Female,Bachelor,HR,Hyderabad,9,48177.0,3,4.0
EMP0232,37,Male,Bachelor,Finance,Mumbai,17,61480.0,4,5.0
EMP0233,35,Male,Master,Engineering,Bangalore,17,89677.0,5,5.0
EMP0234,28,Male,Bachelor,Sales,Mumbai,6,40803.0,2,1.0
EMP0235,56,Female,Bachelor,Engineering,Delhi,40,113299.0,4,4.0
EMP0236,41,Male,Bachelor,Sales,Delhi,23,73886.0,3,2.0
EMP0237,18,Female,Master,Marketing,Hyderabad,0,52803.0,3,2.0
EMP0238,36,Male,Bachelor,Finance,Mumbai,19,67955.0,1,1.0
EMP0239,28,Male,Bachelor,Sales,Mumbai,13,42402.0,3,2.0
EMP0240,43,Male,High School,Marketing,Delhi,27,71419.0,3,2.0
EMP0241,27,Male,High School,Engineering,Mumbai,5,61502.0,2,2.0
EMP0242,33,Female,Master,Engineering,Mumbai,12,85194.0,3,4.0
EMP0243,40,Female,High School,Engineering,Bangalore,20,76048.0,5,4.0
EMP0244,43,Male,Bachelor,Engineering,Mumbai,25,88041.0,2,1.0
EMP0245,22,Female,Master,Finance,Mumbai,5,65535.0,4,4.0
EMP0246,31,Male,High School,Sales,Chennai,11,41632.0,3,3.0
EMP0247,30,Female,Bachelor,Sales,Delhi,12,58381.0,4,5.0
EMP0248,28,Male,Bachelor,Engineering,Mumbai,8,67527.0,3,3.0
EMP0249,52,Male,PhD,Finance,Delhi,32,115301.0,2,3.0
EMP0250,39,Male,Bachelor,HR,Bangalore,18,76798.0,2,1.0
EMP0251,22,Male,Master,Engineering,Delhi,2,65962.0,2,1.0
EMP0252,44,Male,Bachelor,HR,Delhi,23,67955.0,2,3.0
EMP0253,56,Female,High School,Sales,Mumbai,36,83872.0,4,4.0
EMP0254,45,Female,Bachelor,Engineering,Bangalore,29,87654.0,5,5.0
EMP0255,19,Female,PhD,Marketing,Delhi,0,50526.0,4,4.0
EMP0256,30,Male,Bachelor,Marketing,Bangalore,17,61453.0,4,3.0
EMP0257,47,Male,Master,Engineering,Chennai,29,101879.0,2,2.0
EMP0258,27,Male,Master,Finance,Bangalore,9,,3,4.0
EMP0259,39,Male,Bachelor,HR,Delhi,19,60387.0,3,4.0
EMP0260,42,Female,Bachelor,Sales,Delhi,25,81105.0,3,2.0
EMP0261,25,Male,Bachelor,Marketing,Delhi,5,45501.0,3,3.0
EMP0262,34,Male,Bachelor,Marketing,Mumbai,16,61953.0,3,3.0
EMP0263,18,Male,Master,Sales,Mumbai,5,51860.0,3,3.0
EMP0264,24,Female,PhD,Sales,Chennai,5,62275.0,3,2.0
EMP0265,32,Male,Bachelor,Engineering,Delhi,16,81125.0,4,4.0
EMP0266,22,Male,Bachelor,Sales,Delhi,2,36664.0,4,5.0
EMP0267,51,Male,Master,HR,Bangalore,32,88709.0,3,3.0
EMP0268,20,Male,Bachelor,Marketing,Bangalore,5,43981.0,5,4.0
EMP0269,30,Male,Master,Engineering,Mumbai,10,69270.0,5,5.0
EMP0270,36,Male,Bachelor,HR,Chennai,21,63403.0,3,3.0
EMP0271,49,Female,Master,Engineering,Mumbai,32,106618.0,3,4.0
EMP0272,20,Male,High School,Engineering,Chennai,0,49371.0,3,3.0
EMP0273,46,Female,Bachelor,Engineering,Chennai,29,97812.0,5,5.0
EMP0274,35,Female,Bachelor,Marketing,Chennai,18,65967.0,5,5.0
EMP0275,25,Female,Bachelor,HR,Bangalore,8,52254.0,2,1.0
EMP0276,39,Male,High School,Sales,Mumbai,17,54813.0,3,4.0
EMP0277,36,Male,Master,Engineering,Delhi,16,86952.0,4,5.0
EMP0278,28,Female,Master,Finance,Bangalore,9,66983.0,3,2.0
EMP0279,35,Female,Bachelor,Finance,Delhi,16,71326.0,2,3.0
EMP0280,31,Male,High School,Finance,Hyderabad,14,56086.0,5,4.0
EMP0281,36,Female,High School,Engineering,Delhi,18,59805.0,4,4.0
EMP0282,41,Male,Bachelor,Marketing,Delhi,20,67328.0,4,3.0
EMP0283,50,Male,Bachelor,Finance,Delhi,32,101113.0,5,5.0
EMP0284,22,Male,Bachelor,HR,Delhi,5,48131.0,4,3.0
EMP0285,56,Male,Bachelor,Engineering,Bangalore,39,116326.0,3,4.0
EMP0286,18,Male,Bachelor,Engineering,Chennai,2,62180.0,4,4.0
EMP0287,33,Female,Bachelor,Marketing,Bangalore,16,62443.0,2,1.0
EMP0288,40,Male,Bachelor,Finance,Chennai,22,79986.0,4,4.0
EMP0289,37,Male,PhD,Sales,Hyderabad,18,77911.0,2,3.0
EMP0290,28,Male,High School,Marketing,Chennai,6,37419.0,4,
EMP0291,32,Male,Master,Engineering,Mumbai,14,85078.0,3,3.0
EMP0292,30,Male,Bachelor,Sales,Chennai,12,62019.0,2,1.0
EMP0293,29,Female,Bachelor,HR,Mumbai,11,51802.0,2,1.0
EMP0294,43,Female,Master,Marketing,Mumbai,22,76749.0,1,2.0
EMP0295,38,Female,Master,HR,Bangalore,17,69502.0,4,4.0
EMP0296,28,Female,PhD,Finance,Delhi,12,83006.0,4,4.0
EMP0297,43,Male,High School,Engineering,Mumbai,24,73780.0,3,2.0
EMP0298,38,Male,High School,Sales,Mumbai,21,50019.0,2,1.0
EMP0299,43,Male,Master,Engineering,Mumbai,25,95747.0,2,1.0
EMP0300,41,Male,Bachelor,HR,Hyderabad,23,64396.0,1,1.0
EMP0301,26,Female,Bachelor,Sales,Mumbai,9,48959.0,2,1.0
EMP0302,29,Male,High School,Sales,Mumbai,9,42761.0,5,4.0
EMP0303,42,Male,High School,HR,Delhi,24,,3,4.0
EMP0304,41,Female,Master,Marketing,Delhi,22,86262.0,3,2.0
EMP0305,34,Female,High School,Finance,Hyderabad,15,62133.0,2,1.0
EMP0306,36,Female,Bachelor,Sales,Mumbai,17,65002.0,3,3.0
EMP0307,47,Male,Bachelor,Engineering,Bangalore,29,99611.0,3,3.0
EMP0308,29,Male,Bachelor,Sales,Bangalore,10,47305.0,4,5.0
EMP0309,40,Male,High School,HR,Hyderabad,24,69195.0,3,2.0
EMP0310,32,Male,Bachelor,Marketing,Bangalore,12,55621.0,2,3.0
EMP0311,32,Male,High School,Finance,Chennai,13,60852.0,3,3.0
EMP0312,45,Male,Master,Finance,Mumbai,26,87640.0,3,4.0
EMP0313,43,Female,Bachelor,Engineering,Delhi,27,,3,3.0
EMP0314,43,Male,Bachelor,Finance,Delhi,25,87589.0,5,5.0
EMP0315,48,Female,Master,Engineering,Hyderabad,32,110882.0,4,5.0
EMP0316,35,Female,Master,Engineering,Mumbai,14,77489.0,4,3.0
EMP0317,41,Male,Bachelor,Engineering,Mumbai,23,83151.0,3,4.0
EMP0318,31,Female,Bachelor,Finance,Delhi,14,72627.0,3,2.0
EMP0319,38,Male,Bachelor,Sales,Mumbai,20,62052.0,3,2.0
EMP0320,33,Male,Master,Engineering,Mumbai,17,94713.0,4,3.0
EMP0321,35,Female,PhD,Marketing,Hyderabad,15,71996.0,4,3.0
EMP0322,40,Male,Master,Sales,Delhi,24,85191.0,2,3.0
EMP0323,26,Female,Bachelor,Engineering,Bangalore,12,69356.0,3,3.0
EMP0324,55,Male,Master,Finance,Chennai,36,111015.0,3,3.0
EMP0325,24,Female,Bachelor,HR,Delhi,5,40779.0,5,5.0
EMP0326,22,Male,High School,Sales,Mumbai,6,38186.0,4,5.0
EMP0327,46,Male,Bachelor,Finance,Mumbai,31,92704.0,3,2.0
EMP0328,42,Male,PhD,Marketing,Delhi,22,81989.0,2,2.0
EMP0329,41,Female,High School,Finance,Bangalore,22,74704.0,4,5.0
EMP0330,41,Female,Master,Sales,Delhi,22,76433.0,2,1.0
EMP0331,34,Female,Bachelor,Sales,Mumbai,13,56357.0,3,3.0
EMP0332,26,Male,Bachelor,Engineering,Bangalore,6,57028.0,2,1.0
EMP0333,35,Female,High School,Finance,Hyderabad,14,46188.0,4,4.0
EMP0334,28,Female,Bachelor,Marketing,Chennai,8,49044.0,3,3.0
EMP0335,44,Female,Master,Engineering,Chennai,25,110563.0,3,3.0
EMP0336,33,Male,Bachelor,Engineering,Chennai,15,79423.0,5,4.0
EMP0337,26,Female,Master,Sales,Delhi,11,62403.0,3,4.0
EMP0338,31,Female,Master,Sales,Chennai,11,61185.0,3,2.0
EMP0339,39,Male,PhD,HR,Mumbai,22,85112.0,3,3.0
EMP0340,29,Female,Bachelor,Finance,Bangalore,10,63735.0,1,1.0
EMP0341,26,Female,Bachelor,Engineering,Bangalore,7,57595.0,4,5.0
EMP0342,37,Male,High School,HR,Mumbai,20,63571.0,2,1.0
EMP0343,37,Male,PhD,Engineering,Chennai,16,96576.0,3,4.0
EMP0344,29,Male,PhD,Finance,Hyderabad,11,82090.0,4,5.0
EMP0345,30,Male,Bachelor,HR,Delhi,12,56192.0,4,3.0
EMP0346,37,Female,Master,Sales,Chennai,19,74598.0,4,4.0
EMP0347,20,Male,Bachelor,HR,Mumbai,2,42364.0,3,4.0
EMP0348,20,Female,Bachelor,Marketing,Bangalore,6,49959.0,1,1.0
EMP0349,27,Female,High School,Marketing,Delhi,7,38729.0,4,5.0
EMP0350,32,Male,Master,HR,Bangalore,12,59131.0,3,3.0
EMP0351,38,Female,High School,Marketing,Hyderabad,18,57509.0,4,3.0
EMP0352,49,Female,Master,Marketing,Hyderabad,29,97245.0,4,3.0
EMP0353,43,Female,Master,Marketing,Chennai,23,74304.0,4,3.0
EMP0354,33,Female,Master,HR,Delhi,17,62162.0,3,
EMP0355,34,Female,High School,Marketing,Hyderabad,18,57823.0,3,4.0
EMP0356,24,Female,Bachelor,Engineering,Mumbai,4,59254.0,4,3.0
EMP0357,34,Male,Bachelor,HR,Hyderabad,14,57866.0,3,4.0
EMP0358,32,Female,Bachelor,HR,Delhi,14,58219.0,2,3.0
EMP0359,38,Female,High School,Engineering,Mumbai,18,70883.0,5,5.0
EMP0360,26,Female,PhD,Engineering,Bangalore,9,89949.0,5,4.0
EMP0361,40,Male,Bachelor,Engineering,Mumbai,22,77995.0,3,4.0
EMP0362,50,Female,Bachelor,Marketing,Mumbai,28,75857.0,2,1.0
